Primary Drug,Interacting Drug,Mechanism,Clinical Effect,Severity,Management
"ACE inhibitors (e.g., enalapril)","Potassium-sparing diuretics (spironolactone, amiloride)",Additive potassium retention,Hyperkalemia,Major,"Monitor K+, avoid combination in high-risk patients"
ACE inhibitors,Potassium supplements,Additive effect,Hyperkalemia,Major,Avoid or monitor closely
ACE inhibitors,NSAIDs,Reduced prostaglandin synthesis ? ? renal blood flow,"Reduced antihypertensive effect, renal impairment",Moderate–Major,Monitor BP & renal function
ACE inhibitors,Diuretics (loop/thiazide),Volume depletion,First-dose hypotension,Moderate,Start ACEI at low dose
ACE inhibitors,Lithium,Reduced renal clearance of lithium,Lithium toxicity,Major,Monitor lithium levels
ACE inhibitors,Other antihypertensives,Additive BP lowering,Hypotension,Mild–Moderate,Dose adjustment
ARBs,Potassium-sparing diuretics,Additive potassium retention,Hyperkalemia,Major,Monitor potassium
ARBs,NSAIDs,Reduced renal perfusion,Acute kidney injury,Major,Monitor renal function
ARBs,Lithium,Reduced lithium excretion,Lithium toxicity,Major,Monitor lithium levels
ACE inhibitors / ARBs,Dual RAAS blockade (ACEI + ARB),Excess RAAS suppression,"Hyperkalemia, renal failure",Major,Generally avoid combination
Alcohol,Benzodiazepines,Additive CNS depression,"Sedation, respiratory depression",Major,Avoid combination
Alcohol,Opioids,Additive respiratory depression,"Coma, death",Major,Contraindicated
Alcohol,Metronidazole,Disulfiram-like reaction,"Flushing, vomiting",Major,Avoid alcohol
Alcohol,Sulfonylureas,Hypoglycemia,Severe hypoglycemia,Moderate–Major,Caution
Alcohol,Warfarin (acute use),Enzyme inhibition,? INR,Moderate,Monitor INR
Alcohol (chronic),Warfarin,Enzyme induction,? INR,Moderate,Monitor INR
Alcohol,Antihypertensives,Additive vasodilation,Hypotension,Mild–Moderate,Counsel patient
"Alpha blockers (prazosin, doxazosin)",PDE-5 inhibitors (sildenafil),Additive vasodilation,Severe hypotension,Major,Use lowest doses
Alpha blockers,Other antihypertensives,Additive BP reduction,Postural hypotension,Moderate,Monitor BP
Alpha blockers,Beta blockers,Additive cardiovascular effect,Hypotension,Moderate,Caution
Neuromuscular blockers,Aminoglycosides,Neuromuscular transmission inhibition,Prolonged paralysis,Major,Monitor respiration
Volatile anesthetics,Beta blockers,Myocardial depression,Hypotension,Moderate,Monitor
Suxamethonium,Cholinesterase inhibitors,Inhibited metabolism,Prolonged apnea,Major,Avoid or monitor
NSAIDs,Warfarin,Platelet inhibition + gastric irritation,Bleeding risk,Major,Avoid / monitor INR
NSAIDs,ACE inhibitors,Renal prostaglandin inhibition,Renal impairment,Major,Monitor creatinine
NSAIDs,Diuretics,Reduced diuretic effect,Fluid retention,Moderate,Monitor
Opioids,Benzodiazepines,Additive CNS depression,Respiratory depression,Major,Avoid
Paracetamol (high dose),Warfarin,Unknown (possibly hepatic),? INR,Moderate,Monitor INR
"Sympathomimetic anorectics (e.g., phentermine)",MAO inhibitors,Excess catecholamines,Hypertensive crisis,Major,Contraindicated
"Stimulants (e.g., amphetamines)",SSRIs / SNRIs,Serotonergic excess,Serotonin syndrome,Major,Avoid / monitor
Stimulants,Antihypertensives,Opposing effects,Reduced BP control,Moderate,Monitor BP
Sibutramine,CYP3A4 inhibitors,Reduced metabolism,"? BP, tachycardia",Moderate–Major,Avoid strong inhibitors
"Azole antifungals (ketoconazole, itraconazole)","Statins (simvastatin, lovastatin)",CYP3A4 inhibition,Rhabdomyolysis,Major,Avoid combination
Azoles,Warfarin,CYP inhibition,"? INR, bleeding",Major,Monitor INR
Azoles,Benzodiazepines (midazolam),CYP3A4 inhibition,Excess sedation,Major,Dose reduction
Metronidazole,Warfarin,CYP inhibition,? INR,Major,Monitor INR
Albendazole,Cimetidine,Reduced metabolism,? Albendazole levels,Moderate,Monitor
Amiodarone,Warfarin,CYP2C9 inhibition,? INR,Major,Reduce warfarin dose
Amiodarone,Digoxin,Reduced clearance,Digoxin toxicity,Major,Reduce digoxin dose
Quinidine,Digoxin,Reduced renal clearance,? Digoxin levels,Major,Monitor levels
Antiarrhythmics (QT-prolonging),Macrolides / Antipsychotics,Additive QT prolongation,Torsades de pointes,Major,Avoid
Flecainide,CYP2D6 inhibitors,Reduced metabolism,Arrhythmias,Moderate,Monitor ECG
Rifampicin,Oral contraceptives,CYP3A4 induction,Contraceptive failure,Major,Use alternative contraception
Rifampicin,Warfarin,Enzyme induction,? INR,Major,Increase warfarin dose
Macrolides (erythromycin),Statins,CYP3A4 inhibition,Myopathy,Major,Avoid simvastatin
Fluoroquinolones,Theophylline,CYP1A2 inhibition,Theophylline toxicity,Major,Monitor levels
Tetracyclines,Warfarin,Reduced vitamin K flora,? INR,Moderate,Monitor INR
Aminoglycosides,Loop diuretics,Additive ototoxicity,Hearing loss,Major,Avoid if possible
Donepezil,Anticholinergics,Opposing pharmacodynamic effects,Reduced efficacy,Moderate,Avoid combination
Anticholinesterases,Beta blockers,Bradycardia,Syncope,Moderate–Major,Monitor HR
Anticholinesterases,Neuromuscular blockers,Prolonged blockade,Respiratory depression,Major,Monitor closely
Warfarin,NSAIDs,Platelet + gastric effect,Bleeding,Major,Avoid / monitor INR
Warfarin,Amiodarone,CYP inhibition,? INR,Major,Reduce dose
Warfarin,Metronidazole,CYP inhibition,? INR,Major,Monitor INR
Warfarin,Rifampicin,Enzyme induction,? INR,Major,Increase dose
Heparin,Antiplatelets,Additive anticoagulation,Bleeding,Major,Monitor
DOACs,Strong CYP3A4 inhibitors,Reduced metabolism,Bleeding risk,Major,Avoid
Insulin,Beta blockers,Mask hypoglycemia symptoms,Delayed detection of hypoglycemia,Moderate,Monitor glucose closely
"Sulfonylureas (glimepiride, gliclazide)",Azoles / Macrolides,CYP inhibition,Severe hypoglycemia,Major,Monitor glucose
Metformin,Cimetidine,Reduced renal clearance,? Metformin levels,Moderate,Monitor renal function
Metformin,Contrast media,Renal impairment risk,Lactic acidosis,Major,Withhold before procedure
Pioglitazone,Rifampicin,CYP induction,Reduced efficacy,Moderate,Monitor glucose
DPP-4 inhibitors,Strong CYP3A4 inhibitors,? Drug levels,Adverse effects,Moderate,Dose adjust
Phenytoin,Warfarin,CYP2C9 interaction,Variable INR,Major,Monitor INR closely
Carbamazepine,Oral contraceptives,CYP3A4 induction,Contraceptive failure,Major,Alternative contraception
Valproate,Lamotrigine,Inhibits metabolism,Lamotrigine toxicity,Major,Reduce lamotrigine dose
Phenytoin,Azoles,CYP inhibition,Phenytoin toxicity,Major,Monitor levels
Carbamazepine,Macrolides,CYP3A4 inhibition,Toxicity,Major,Avoid erythromycin
Enzyme-inducing AEDs,Antipsychotics,Reduced levels,Reduced efficacy,Moderate,Dose adjustment
Sedating antihistamines,Benzodiazepines,Additive CNS depression,Excess sedation,Moderate–Major,Avoid combination
Terfenadine (withdrawn historically),Macrolides,CYP3A4 inhibition,QT prolongation,Major,Contraindicated
Antihistamines,Alcohol,Additive CNS depression,Impaired alertness,Moderate,Avoid alcohol
Antihistamines,Anticholinergics,Additive effect,"Dry mouth, retention",Moderate,Monitor
Methotrexate,NSAIDs,Reduced renal clearance,Toxicity,Major,Avoid high-dose NSAIDs
Methotrexate,Trimethoprim,Additive antifolate effect,Bone marrow suppression,Major,Avoid combination
Ciclosporin,Azoles,CYP3A4 inhibition,Nephrotoxicity,Major,Monitor levels
Tacrolimus,Macrolides,CYP3A4 inhibition,Toxicity,Major,Monitor levels
Cyclophosphamide,CYP inducers,Reduced efficacy,Treatment failure,Moderate,Monitor
Aspirin,Warfarin,Additive bleeding,GI bleeding,Major,Avoid / monitor
Clopidogrel,Omeprazole,CYP2C19 inhibition,Reduced antiplatelet effect,Major,Use alternative PPI
Antiplatelets,SSRIs,Platelet serotonin inhibition,Bleeding risk,Moderate–Major,Monitor
Dual antiplatelet therapy,NSAIDs,Additive bleeding,Major bleeding,Major,Avoid NSAIDs
Antipsychotics (QT prolonging),Macrolides / Fluoroquinolones,Additive QT prolongation,Torsades de pointes,Major,Avoid
Clozapine,Carbamazepine,Bone marrow suppression,Agranulocytosis,Major,Contraindicated
Clozapine,Fluvoxamine,CYP1A2 inhibition,Clozapine toxicity,Major,Reduce dose
Antipsychotics,Benzodiazepines,Additive CNS depression,Respiratory depression,Moderate–Major,Caution
Risperidone,CYP2D6 inhibitors,? Levels,EPS risk,Moderate,Monitor
"SSRIs (fluoxetine, sertraline)",MAO inhibitors,Excess serotonin,Serotonin syndrome,Major,Contraindicated
SSRIs,Triptans,Additive serotonergic effect,Serotonin syndrome,Major,Monitor closely
TCAs,"CYP2D6 inhibitors (fluoxetine, paroxetine)",Reduced metabolism,TCA toxicity,Major,Reduce dose
Antidepressants (QT-prolonging),Macrolides,Additive QT prolongation,Torsades de pointes,Major,Avoid
Venlafaxine,CYP3A4 inhibitors,? Drug levels,Hypertension,Moderate,Monitor BP
Bupropion,CYP2D6 substrates,Inhibition,? Substrate levels,Moderate,Dose adjust
Beta-blockers,Verapamil / Diltiazem,Additive cardiac depression,"Bradycardia, heart block",Major,Avoid or monitor
Propranolol,CYP2D6 inhibitors,Reduced metabolism,Bradycardia,Moderate,Monitor HR
Beta-blockers,Insulin / Sulfonylureas,Mask hypoglycemia,Severe hypoglycemia,Moderate,Monitor glucose
Beta-blockers,Clonidine,Withdrawal interaction,Rebound hypertension,Major,Taper carefully
